epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.8269,1.83601,3.5717,1.8215,0.00271,0.8,0.29555,0.15263,1.48295,4.32234,1.60796,0.00020004,0.00020004,0.00020004
2,12.3008,1.66067,3.01035,1.74936,0.00313,0.9,0.44625,0.23111,1.38984,4.09274,1.53752,0.000402997,0.000402997,0.000402997
3,17.2473,1.47003,2.73945,1.63451,0.00268,0.8,0.4407,0.25794,1.33099,3.91127,1.51326,0.000591652,0.000591652,0.000591652
4,22.2367,1.59082,2.56209,1.67425,0.00289,0.85,0.40078,0.25103,1.40046,3.84883,1.48639,0.000766003,0.000766003,0.000766003
5,27.307,1.51345,2.70793,1.62821,0.0029,0.85,0.32535,0.13668,1.53872,3.81428,1.63068,0.000926052,0.000926052,0.000926052
6,32.3936,1.40681,2.56099,1.57837,0.36171,0.33582,0.40256,0.21274,1.46846,3.64855,1.5791,0.0010718,0.0010718,0.0010718
7,37.7336,1.46914,2.40772,1.57767,0.5744,0.36667,0.50565,0.27953,1.57764,3.70995,1.66719,0.00120324,0.00120324,0.00120324
8,43.1595,1.48635,2.47852,1.55492,0.38069,0.33333,0.42559,0.175,1.77537,3.71506,1.81485,0.00128192,0.00128192,0.00128192
9,48.8148,1.42126,2.33246,1.52063,0.36349,0.31667,0.18775,0.1078,1.77945,4.5579,1.88465,0.00122691,0.00122691,0.00122691
10,54.4006,1.44986,2.45586,1.57486,0.20209,0.26559,0.21394,0.11836,1.99812,4.51402,2.09156,0.0011719,0.0011719,0.0011719
11,60.4248,1.37162,2.10115,1.49695,0.51769,0.36667,0.33343,0.16558,2.05187,3.65255,2.41738,0.00111689,0.00111689,0.00111689
12,65.8331,1.42753,2.10728,1.47138,0.83549,0.41667,0.44762,0.22592,1.87393,3.97604,2.0923,0.00106188,0.00106188,0.00106188
13,71.3982,1.32235,2.02471,1.4173,0.80954,0.3777,0.46998,0.26233,1.90086,4.1058,2.04996,0.00100687,0.00100687,0.00100687
14,77.5032,1.31783,2.00337,1.41519,0.50284,0.41438,0.44467,0.22927,1.92856,4.80976,2.15268,0.000951857,0.000951857,0.000951857
15,83.8411,1.39829,2.04194,1.45223,0.77546,0.41041,0.54525,0.28023,1.79795,4.1602,1.91379,0.000896846,0.000896846,0.000896846
16,90.1705,1.30122,1.94668,1.41369,0.7322,0.53333,0.55295,0.27471,1.80529,3.51877,1.92216,0.000841835,0.000841835,0.000841835
17,96.4747,1.2492,1.88689,1.38459,0.76313,0.45,0.59346,0.34258,1.64142,2.941,1.64101,0.000786824,0.000786824,0.000786824
18,102.88,1.19128,1.82243,1.31428,0.82292,0.5,0.61924,0.37231,1.52777,2.75375,1.59083,0.000731813,0.000731813,0.000731813
19,109.26,1.15716,1.74189,1.32295,0.73378,0.6612,0.69515,0.36393,1.56229,2.7066,1.56788,0.000676802,0.000676802,0.000676802
20,115.618,1.27116,1.79381,1.35932,0.92682,0.5,0.70999,0.40014,1.6375,2.59735,1.66007,0.000621791,0.000621791,0.000621791
21,121.853,1.16402,2.09717,1.36782,0.85605,0.6283,0.69423,0.38967,1.69898,2.73178,1.70377,0.00056678,0.00056678,0.00056678
22,128.049,1.06872,2.01341,1.33249,0.97129,0.54992,0.72262,0.32382,1.75852,2.72884,1.75377,0.000511769,0.000511769,0.000511769
23,133.946,1.06904,1.94836,1.22418,0.85822,0.71154,0.79709,0.36306,1.70196,2.69204,1.75681,0.000456758,0.000456758,0.000456758
24,139.9,1.06906,1.96856,1.23833,0.68939,0.78033,0.80486,0.38895,1.66022,2.52904,1.72195,0.000401747,0.000401747,0.000401747
25,145.592,0.97228,1.81304,1.19581,0.71956,0.76667,0.81292,0.42021,1.64761,2.44229,1.70713,0.000346736,0.000346736,0.000346736
26,151.099,0.92573,1.70617,1.15788,0.82084,0.76667,0.84384,0.41482,1.73012,2.46298,1.7567,0.000291725,0.000291725,0.000291725
27,157.087,0.90338,1.62225,1.16695,0.9072,0.74844,0.84286,0.43755,1.75382,2.41664,1.80068,0.000236714,0.000236714,0.000236714
28,162.582,0.86167,1.6743,1.11611,0.86055,0.76667,0.84208,0.47514,1.74743,2.38112,1.7818,0.000181703,0.000181703,0.000181703
29,168.357,0.88119,1.65019,1.13463,0.83365,0.76667,0.83124,0.46825,1.76122,2.33225,1.78499,0.000126692,0.000126692,0.000126692
30,175.078,0.88424,1.59465,1.1631,0.84111,0.76667,0.83885,0.45704,1.73261,2.35207,1.76222,7.1681e-05,7.1681e-05,7.1681e-05
